Experiment,PEG,CHOL,TFR,FRR,Salt,Temperature,SIZE,PDI
,5.0,10,1.3,4.0,11,20,55.89,0.13
,5.0,30,1.3,4.0,11,20,48.25,0.123
,5.0,10,1.7,4.0,11,20,52.47,0.141
,5.0,10,1.7,4.0,11,20,53.37,0.147
,5.0,30,1.7,4.0,11,20,45.23,0.119
,5.0,10,1.3,12.0,11,20,51.45,0.137
,5.0,30,1.3,12.0,11,20,45.52,0.14
,5.0,30,1.3,12.0,11,20,47.11,0.139
,5.0,10,1.7,12.0,11,20,51.1,0.125
,5.0,30,1.7,12.0,11,20,45.23,0.161
,5.0,10,1.5,8.0,11,20,50.8,0.123
,5.0,30,1.5,8.0,11,20,47.96,0.156
,5.0,20,1.3,8.0,11,20,50.42,0.125
,5.0,20,1.7,8.0,11,20,48.09,0.143
,5.0,20,1.7,8.0,11,20,50.15,0.166
,5.0,20,1.5,4.0,11,20,48.6,0.102
,5.0,20,1.5,12.0,11,20,45.74,0.147
,5.0,20,1.5,8.0,11,20,48.24,0.112
,5.0,20,1.5,8.0,11,20,48.96,0.118
,5.0,20,1.5,8.0,11,20,48.58,0.131
,5.0,16,1.45,7.3,11,20,48.58,0.135
,5.0,16,1.45,7.3,11,20,50.28,0.13
,5.0,24,1.45,7.3,11,20,45.37,0.104
,5.0,20,1.6,7.3,11,20,47.14,0.146
,5.0,20,1.5,10.0,11,20,49.54,0.16
,4.0,35,1.8,3.0,11,20,41.51,0.078
,4.0,15,1.8,5.0,11,20,50.36,0.165
,4.0,15,1.8,5.0,11,20,50.76,0.132
,2.0,15,1.8,5.0,11,20,53.27,0.132
,2.0,35,1.0,5.0,11,20,82.65,0.322
,4.0,15,1.0,3.0,11,20,58.08,0.165
,2.0,35,1.8,3.0,11,20,52.93,0.149
,2.0,35,1.8,3.0,11,20,50.23,0.154
,4.0,35,1.0,5.0,11,20,46.9,0.182
,2.0,15,1.0,3.0,11,20,59.54,0.122
,3.0,25,1.4,4.0,11,20,58.13,0.153
,3.0,25,1.4,4.0,11,20,57.74,0.132
,5.0,35,1.5,10.0,11,20,49.47,0.146
,1.0,30,1.4,4.0,11,20,61.39,0.156
,1.0,30,1.4,4.0,11,20,61.63,0.157
,5.0,30,1.4,4.0,11,20,50.75,0.121
,5.0,30,1.4,4.0,11,20,50.99,0.127
,1.5,10,2.0,6.0,11,20,53.5,0.147
,1.5,10,2.0,6.0,11,20,52.08,0.15
,1.0,5,1.51,4.0,11,20,62.29,0.171
,1.0,5,1.51,4.0,11,20,62.36,0.167
,1.0,5,1.51,4.0,11,20,58.32,0.153
,3.5,22,1.7,8.0,11,20,52.2,0.146
,3.5,22,1.7,8.0,11,20,49.31,0.14
,3.5,22,1.7,8.0,11,20,47.56,0.148
